node_index,osm_id,x_meters,y_meters,lon,lat
110,12362108815,692885.5503198991,4797196.972286248,5.378124528919435,43.30288633887074
111,12362108818,692840.0101734231,4797168.013281541,5.377553371088416,43.302637468025644
112,4207441057,692954.5626017847,4797240.915461447,5.378990099999999,43.303264
113,12362108819,692931.5582745586,4797226.268113255,5.3787015723940765,43.303138117166334
114,12362108822,692970.8583354601,4797219.655655658,5.379183381481572,43.30306855132683
115,5692348761,692817.5560817157,4797153.572621318,5.3772717,43.3025133
116,12362108824,692840.0101734231,4797168.013281541,5.377553371088416,43.302637468025644
117,26491393,693178.9265402881,4796973.982347427,5.381660199999999,43.300804899999996
118,33781358,693178.6297818641,4796937.427647113,5.3816437,43.3004761
119,12362108825,693209.0103155762,4796982.018777289,5.382033605916242,43.30086948120426
120,26491394,693239.0929479748,4796990.059490602,5.382406999999999,43.300934099999985
121,33781379,693263.3713136909,4796996.120857992,5.382708199999999,43.300982399999995
122,12362108826,693240.2828143282,4797012.229051571,5.382429449669723,43.30113325002638
123,12362108829,693178.3050566945,4796910.39032737,5.381630199849636,43.300232933346926
124,12362108831,693152.6227418854,4796934.651995922,5.381322363348498,43.30045780169777
125,26491396,693243.8524353623,4797078.737732855,5.382496799999999,43.3017307
126,26491397,693246.2782161434,4797115.486601374,5.382539599999999,43.30206069999999
127,12362108833,693267.0246620765,4797084.27362878,5.382784193305783,43.30177455610644
128,12362108835,693290.9879593862,4797003.593420798,5.383051018729651,43.30104253824485
129,410262459,693235.8015080024,4797113.375892654,5.382409799999999,43.3020444
130,12362108836,693269.7143619631,4797120.104908033,5.382829923411202,43.30209623281508
131,33781381,693313.3708608688,4797095.338121071,5.383358999999999,43.30186219999999
132,1200624870,693313.861747382,4797101.176420783,5.3833671,43.30191459999999
133,12362108838,693312.2339089417,4797067.930225084,5.383335356763277,43.301615908362415
134,33781380,693315.8370723457,4797131.51021014,5.383402099999998,43.30218700000001
135,2078857594,693324.8704149316,4797138.68164991,5.3835159,43.302249200000006
136,12362108840,693293.1525844882,4797124.712692419,5.383120269011588,43.30213166968426
137,12362108842,693210.9918443057,4797112.168759693,5.382103756156657,43.30203990837853
138,12362108847,693206.6447735592,4797105.701933211,5.382047933684728,43.30198284334293
139,26511845,693378.2929571281,4796735.563404965,5.3840322,43.298608699999996
140,12362108848,693387.6324219516,4796713.730910892,5.384139563351103,43.29840987803674
141,12362108854,693399.0831994565,4796745.941060645,5.3842919415026325,43.2986967249244
142,33781767,693442.9691755322,4796582.433147041,5.384775,43.297214399999994
143,12362108858,693461.6653979514,4796590.697692224,5.3850081997427175,43.297283950244584
144,12362108859,693421.7155820649,4796572.934199122,5.38450986599337,43.297134400632515
145,12362108861,693453.235422847,4796558.2707407335,5.384892954630301,43.29699437748892
146,33781349,693481.6247237416,4796788.632354188,5.3853237,43.29905959999999
147,3494635743,693499.4016621802,4796796.943002372,5.3855456,43.2991298
148,33781782,693480.5762572363,4796758.836267597,5.3853003,43.29879179999998
149,12362108866,693456.5832476929,4796788.433025315,5.385015170427759,43.29906424242004
150,12362108871,693509.0122549025,4796788.110121634,5.3856608740925065,43.29904786194055
151,33781352,693228.3957836621,4796785.115290955,5.3822032,43.29909299999999
152,33781364,693262.602924751,4796782.945768817,5.382623799999999,43.299064699999995
153,12362108872,693229.6957695342,4796808.375025458,5.3822273876517315,43.29930192998672
154,12362108874,693203.7255736393,4796785.667531422,5.381899506993276,43.299104300455795
155,26760491,693040.9657598165,4796946.206713201,5.379950999999999,43.30059039999999
156,12362108875,693068.5750169142,4796953.363803127,5.380293612350865,43.300647710274156
157,4256938772,693096.1819666843,4796960.529774252,5.380636199999999,43.300705099999995
158,4256938770,693099.3589851042,4796946.193054744,5.3806703,43.30057530000001
159,26760492,692997.9603842231,4796935.533247003,5.379417499999999,43.30050539999999
160,12362108876,693019.4630720199,4796940.869980102,5.379684249827082,43.300547900315834
161,26760493,692922.6808682274,4796916.482431298,5.378483499999999,43.30035329999999
162,12362108877,692947.774040226,4796922.8327032,5.378794832850939,43.30040400086072
163,12362108879,692916.9155261659,4796944.511806288,5.378422316429302,43.30060695349111
164,6938461002,692905.2922396571,4797000.550092258,5.3782988,43.30111409999999
165,6938461001,692886.0652574855,4796993.555739287,5.3780595,43.3010561
166,12362108881,692899.4437880006,4797027.567990579,5.378236236340978,43.30135867459786
167,26760494,692833.6781111932,4796894.129587092,5.377379299999999,43.300174999999996
168,26781718,692830.3488535865,4796929.513872154,5.3773507,43.3004942
169,12362108883,692854.3358316598,4796899.260206691,5.377635566347149,43.300215867249655
170,12362108885,692814.7593875474,4796915.090117373,5.377153605689966,43.30036842496911
171,26761391,692895.6512725931,4796909.521445887,5.378148099999999,43.30029759999999
172,12362108887,692898.0404088013,4796887.214403848,5.3781697033891405,43.30009629474766
173,26760495,692790.8562954192,4796883.26263023,5.376847999999999,43.30008819999999
174,12362108889,692812.2672033062,4796888.696108662,5.377113649823775,43.300131600313335
175,26760496,692709.0314462007,4796861.971662719,5.375832600000001,43.2999176
176,12362108890,692732.1605260498,4796867.937278283,5.3761195997902185,43.29996535036584
177,12362108891,692697.6261260676,4796887.537660965,5.375701067639383,43.30015053346986
178,26760497,692755.289605899,4796873.902893847,5.376406600000001,43.300013099999994
179,12362108893,692750.8893298802,4796897.730464088,5.37636075014574,43.30022860000912
180,26781769,692746.4890538615,4796921.55803433,5.376314899999998,43.30044409999999
181,26781765,692740.267975643,4796954.170205763,5.3762497,43.3007391
182,26760499,692993.570478758,4796580.772549718,5.3792389,43.297314799999995
183,418302037,692990.9217001694,4796600.79301218,5.3792133,43.2974956
184,12362108894,692967.9433971993,4796572.241421364,5.378920240887129,43.297244615985704
185,12362108898,692986.5074717187,4796622.085858753,5.379166400135257,43.29768830000912
186,418302035,692880.5880152055,4796571.018547256,5.377843799999999,43.29725599999999
187,26761386,692867.0242702044,4796604.299627293,5.377688399999999,43.2975589
